Washed Up Ballers	12	Rebound - Offensive	
Washed Up Ballers	5	2PT Field Goal Miss	
Blues Clues	12	Rebound - Defensive	
Blues Clues	6	2PT Field Goal Miss	
Washed Up Ballers	12	Block	
Blues Clues	6	Turnover	
Washed Up Ballers	5	2PT Field Goal Made	
Blues Clues	12	Foul	
Washed Up Ballers	5	FT - Made	1pt
Blues Clues	2	2PT Field Goal Miss	
Washed Up Ballers	12	Rebound - Defensive	
Washed Up Ballers	12	Turnover	
Blues Clues	12	Steal	
Blues Clues	12	2PT Field Goal Made	
Washed Up Ballers	7	Foul	
Blues Clues	12	FT - Made	1pt
Washed Up Ballers	6	3PT Field Goal Miss	
Blues Clues	6	Rebound - Defensive	
Blues Clues	12	2PT Field Goal Miss	
Washed Up Ballers	5	Rebound - Defensive	
Washed Up Ballers	6	Turnover	
Blues Clues	1	Turnover	
Washed Up Ballers	1	Steal	
Washed Up Ballers	1	Turnover	
Blues Clues	2	3PT Field Goal Miss	
Washed Up Ballers	5	Rebound - Defensive	
Washed Up Ballers	7	3PT Field Goal Miss	
Blues Clues	1	Rebound - Defensive	
Blues Clues	1	2PT Field Goal Miss	
Washed Up Ballers	1	Rebound - Defensive	
Washed Up Ballers	12	3PT Field Goal Miss	
Blues Clues	6	Rebound - Defensive	
Blues Clues	6	2PT Field Goal Miss	
Washed Up Ballers	1	Rebound - Defensive	
Washed Up Ballers	12	2PT Field Goal Miss	
Washed Up Ballers	12	Turnover	
Blues Clues	3	Turnover	
Washed Up Ballers	3	Steal	
Blues Clues	8	3PT Field Goal Miss	
Washed Up Ballers	2	Foul	
Washed Up Ballers	2	FT - Made	2pts
Washed Up Ballers	5	Foul	
Blues Clues	4	3PT Field Goal Made	
Blues Clues	12	Assist	
Washed Up Ballers	6	Turnover	
Blues Clues	12	3PT Field Goal Miss	
Washed Up Ballers	3	Rebound - Defensive	
Washed Up Ballers	5	2PT Field Goal Made	
Washed Up Ballers	3	Assist	
Blues Clues	12	2PT Field Goal Miss	
Washed Up Ballers	2	Rebound - Defensive	
Washed Up Ballers	2	Turnover	
Blues Clues	12	Steal	
Blues Clues	12	2PT Field Goal Made	
Washed Up Ballers	3	3PT Field Goal Miss	
Blues Clues	4	Rebound - Defensive	
Blues Clues	4	3PT Field Goal Miss	
Washed Up Ballers	3	Rebound - Defensive	
Blues Clues	4	Foul	
Washed Up Ballers	5	2PT Field Goal Miss	
Blues Clues	3	Rebound - Defensive	
Blues Clues	10	2PT Field Goal Miss	
Washed Up Ballers	8	Rebound - Defensive	
Washed Up Ballers	5	2PT Field Goal Miss	
Blues Clues	4	Rebound - Defensive	
Blues Clues	1	2PT Field Goal Miss	
Washed Up Ballers	5	Rebound - Defensive	
Washed Up Ballers	8	2PT Field Goal Made	
Blues Clues	12	3PT Field Goal Miss	
Blues Clues	12	Turnover	
Washed Up Ballers	6	Turnover	
Blues Clues	4	Steal	
Blues Clues	3	2PT Field Goal Made	
Blues Clues	4	Assist	
Washed Up Ballers	3	3PT Field Goal Miss	
Washed Up Ballers	5	Rebound - Defensive	
Washed Up Ballers	5	2PT Field Goal Miss	 
Blues Clues	4	Rebound - Defensive	
Blues Clues	12	3PT Field Goal Miss	
Blues Clues	3	Rebound - Offensive	
Blues Clues	3	2PT Field Goal Made	
Washed Up Ballers	2	Foul	
Blues Clues	3	FT - Made	1pt
Washed Up Ballers	3	3PT Field Goal Miss	
Washed Up Ballers	8	Rebound - Offensive	
Washed Up Ballers	5	3PT Field Goal Miss	
Blues Clues	3	Rebound - Defensive	
Blues Clues	1	2PT Field Goal Miss	
Washed Up Ballers	6	Rebound - Defensive	
Washed Up Ballers	6	3PT Field Goal Miss	
Blues Clues	6	3PT Field Goal Made	
Blues Clues	4	Assist	
Washed Up Ballers	1	2PT Field Goal Miss	
Washed Up Ballers	1	Rebound - Offensive	
Washed Up Ballers	1	2PT Field Goal Made	
Blues Clues	6	Turnover	
Washed Up Ballers	12	Steal	
Washed Up Ballers	12	2PT Field Goal Miss	
Washed Up Ballers	5	Rebound - Offensive	
Washed Up Ballers	5	2PT Field Goal Miss	
Washed Up Ballers	1	Rebound - Offensive	
Washed Up Ballers	1	2PT Field Goal Miss	
Blues Clues	12	2PT Field Goal Made	
Blues Clues	4	Assist	
Washed Up Ballers	12	Turnover	
Blues Clues	4	Turnover	
Washed Up Ballers	8	3PT Field Goal Miss	
Blues Clues	6	Rebound - Defensive	
Blues Clues	6	Turnover	
Washed Up Ballers	8	Steal	
Blues Clues	8	Foul	
Washed Up Ballers	6	FT - Made	2pts
Blues Clues	1	Turnover	
Washed Up Ballers	5	Steal	
Blues Clues	8	Foul	
Washed Up Ballers	8	FT - Made	2pts
Blues Clues	1	Turnover	
Blues Clues	6	Foul	
Washed Up Ballers	6	FT - Made	2pts
Blues Clues	12	2PT Field Goal Miss	
Washed Up Ballers	1	Rebound - Defensive	
Washed Up Ballers	6	Foul	
Blues Clues	12	Turnover	
Washed Up Ballers	8	2PT Field Goal Miss	
Blues Clues	1	Rebound - Defensive	
Blues Clues	1	Turnover	
Washed Up Ballers	6	Steal	
Washed Up Ballers	5	2PT Field Goal Made	
Washed Up Ballers	1	Assist	
Blues Clues	6	3PT Field Goal Miss	
Washed Up Ballers	5	Rebound - Defensive	
Washed Up Ballers	1	3PT Field Goal Made	
Washed Up Ballers	6	Assist	
Blues Clues	12	3PT Field Goal Made	
Blues Clues	3	Assist	
Washed Up Ballers	8	Turnover	
Blues Clues	3	Steal	
Washed Up Ballers	5	Foul	
Blues Clues	12	FT - Miss	
Washed Up Ballers	5	Rebound - Defensive	
Washed Up Ballers	8	Turnover	
Blues Clues	6	Steal	
Blues Clues	12	3PT Field Goal Miss	
Washed Up Ballers	1	Rebound - Defensive	
Washed Up Ballers	1	3PT Field Goal Made	
Washed Up Ballers	12	Assist	
Blues Clues	4	Turnover	
Washed Up Ballers	5	2PT Field Goal Made	
Blues Clues	12	2PT Field Goal Made	
Washed Up Ballers	5	2PT Field Goal Miss	
Blues Clues	3	Rebound - Defensive	
Blues Clues	4	3PT Field Goal Miss	
Washed Up Ballers	1	Rebound - Defensive	
Blues Clues	4	Foul	
Washed Up Ballers	5	FT - Made	2pts
Blues Clues	6	Turnover	
Washed Up Ballers	5	2PT Field Goal Made	
Blues Clues	12	Turnover	
Washed Up Ballers	5	3PT Field Goal Miss	
Blues Clues	2	Rebound - Defensive	
Blues Clues	10	2PT Field Goal Miss	
Blues Clues	3	Rebound - Offensive	
Blues Clues	2	2PT Field Goal Made	
Washed Up Ballers	1	Foul	
Blues Clues	3	FT - Miss	
Washed Up Ballers	1	Rebound - Defensive	
Washed Up Ballers	6	2PT Field Goal Made	
Blues Clues	12	Turnover	
Washed Up Ballers	8	2PT Field Goal Miss	
Washed Up Ballers	5	Rebound - Offensive	
Washed Up Ballers	5	2PT Field Goal Miss	
Blues Clues	4	Rebound - Defensive	
Blues Clues	4	Turnover	
Washed Up Ballers	5	2PT Field Goal Miss	
Washed Up Ballers	5	Rebound - Offensive	
Washed Up Ballers	5	2PT Field Goal Made	
Blues Clues	2	Foul	
Washed Up Ballers	5	FT - Miss	 
Washed Up Ballers	6	Rebound - Offensive	
Washed Up Ballers	5	2PT Field Goal Made	
Blues Clues	2	3PT Field Goal Miss	
Washed Up Ballers	5	Rebound - Defensive	
Washed Up Ballers	5	Turnover	
Blues Clues	4	Steal	
Blues Clues	3	2PT Field Goal Miss	
Washed Up Ballers	6	Rebound - Defensive	
Washed Up Ballers	8	3PT Field Goal Miss	
Washed Up Ballers	1	Rebound - Offensive	
Washed Up Ballers	2	2PT Field Goal Made	
Washed Up Ballers	6	Assist	
Washed Up Ballers	1	Foul	
Blues Clues	3	3PT Field Goal Made	
Blues Clues	4	Assist	
Washed Up Ballers	6	3PT Field Goal Miss	
Washed Up Ballers	5	Rebound - Offensive	
Washed Up Ballers	5	2PT Field Goal Miss	
Washed Up Ballers	5	Rebound - Offensive	
Washed Up Ballers	5	2PT Field Goal Miss	
Blues Clues	12	Foul	
Washed Up Ballers	5	FT - Made	2pts
Blues Clues	10	Turnover	
Washed Up Ballers	6	Steal	
Washed Up Ballers	12	2PT Field Goal Made	
Washed Up Ballers	6	Assist	
Blues Clues	10	Turnover	
Washed Up Ballers	6	Steal	
Washed Up Ballers	6	2PT Field Goal Made	
Blues Clues	3	2PT Field Goal Miss	
Washed Up Ballers	5	Block	
Washed Up Ballers	5	3PT Field Goal Miss	
Blues Clues	3	Rebound - Defensive	
Blues Clues	4	3PT Field Goal Made	
Washed Up Ballers	12	Turnover	
Blues Clues	4	Steal	
Blues Clues	12	2PT Field Goal Miss	
Washed Up Ballers	6	Rebound - Defensive	
Washed Up Ballers	2	Turnover	
Blues Clues	4	Steal	
Blues Clues	4	2PT Field Goal Miss	
Blues Clues	12	Rebound - Offensive	
Washed Up Ballers	6	Foul	
Blues Clues	12	FT - Made	2pts
Blues Clues	4	Foul	
Blues Clues	1	Foul	
Washed Up Ballers	6	2PT Field Goal Miss	
Blues Clues	6	Block	
Washed Up Ballers	5	Foul	
Blues Clues	6	3PT Field Goal Miss	
Washed Up Ballers	6	Rebound - Defensive	
Blues Clues	3	Foul	
Blues Clues	4	Foul	
Washed Up Ballers	6	FT - Made	2pts
Blues Clues	3	Turnover	
Washed Up Ballers	6	Steal	
Washed Up Ballers	6	2PT Field Goal Miss	
